start,end,months,strategy_sharpe,equal_weight_sharpe,static_60_40_sharpe,strategy_minus_equal_weight_sharpe,strategy_minus_static_60_40_sharpe
2021-11-30,2024-10-31,36,0.9814048550686204,0.3782668664761499,0.10464743379208763,0.6031379885924706,0.8767574212765328
2021-12-31,2024-11-30,36,1.0236820230465973,0.22193125062196317,-0.025340223985984022,0.8017507724246341,1.0490222470325814
2022-01-31,2024-12-31,36,1.2217942364411853,0.3907335624306395,0.11856641631664815,0.8310606740105458,1.1032278201245371
2022-02-28,2025-01-31,36,1.2692144993716048,0.43629127291060144,0.20703276737133702,0.8329232264610034,1.0621817320002678
2022-03-31,2025-02-28,36,1.008744296648181,0.3628966105833799,0.11725562216753051,0.645847686064801,0.8914886744806505
2022-04-30,2025-03-31,36,1.1002960304000755,0.5132881153863247,0.32282563054055197,0.5870079150137508,0.7774703998595236
2022-05-31,2025-04-30,36,1.3033081264993356,0.5997388687005308,0.3995944140213151,0.7035692577988047,0.9037137124780205
2022-06-30,2025-05-31,36,1.4333904122914813,0.8934511292499641,0.6499382777514394,0.5399392830415173,0.7834521345400419
2022-07-31,2025-06-30,36,1.4414155815591116,0.7945134739524511,0.5289202626142692,0.6469021076066606,0.9124953189448425
2022-08-31,2025-07-31,36,1.542664879443453,1.0011583839616833,0.6886704240595029,0.5415064954817697,0.8539944553839501
2022-09-30,2025-08-31,36,1.7244832682122462,1.5703390993722675,1.132719552566506,0.15414416883997872,0.5917637156457403
2022-10-31,2025-09-30,36,1.7660711375175049,1.5558754516412587,1.1189009637880103,0.21019568587624615,0.6471701737294946
2022-11-30,2025-10-31,36,1.6039238794208253,1.4213587036165656,0.9713644214578941,0.18256517580425968,0.6325594579629311
2022-12-31,2025-11-30,36,1.90490588171572,1.6212455133959505,1.1162963154601366,0.2836603683197696,0.7886095662555834
2023-01-31,2025-12-31,36,1.8132664478332927,1.5939190742159415,0.9746481325767112,0.21934737361735124,0.8386183152565815
2023-02-28,2026-01-31,36,1.7444713677909502,1.9653697350753623,1.164919345578584,-0.22089836728441203,0.5795520222123662
2023-03-31,2026-02-28,36,1.534486203436323,1.5940067020891011,0.8426467769614746,-0.0595204986527782,0.6918394264748483
2023-04-30,2026-03-31,36,1.6991427697064592,1.7504603662665283,0.9640261310702836,-0.05131759656006918,0.7351166386361756
