switch_score_buffer,min_regime_history,top_n,max_monthly_turnover,turnover_metric_warmup_months,median_rolling_sharpe_difference,turnover_instability_score,allocation_complexity_score,selection_score,passes_turnover_stability,research_start,research_end,research_months,strategy_sharpe,average_turnover,turnover_p90,turnover_p95,high_turnover_month_share,turnover_volatility,rolling_12m_average_turnover_max
1.0,36,2,0.2,12,-1.0111843054453398,0.3710526315789474,0.0,-1.1967106212348135,False,2008-05-31,2021-12-31,164,0.6283621486947345,0.02894736842105264,0.20000000000000004,0.20000000000000007,0.0,0.07036706293221548,0.20000000000000004
0.2,36,3,0.2,12,-1.0111843054453398,0.37150775489448257,0.0,-1.1969381828925811,False,2008-05-31,2021-12-31,164,0.6239996650862633,0.028492245105517424,0.2,0.20000000000000007,0.0,0.06947734296991943,0.19999999999999998
0.5,36,3,0.2,12,-1.0111843054453398,0.37150775489448257,0.0,-1.1969381828925811,False,2008-05-31,2021-12-31,164,0.6239996650862633,0.028492245105517424,0.2,0.20000000000000007,0.0,0.06947734296991943,0.19999999999999998
0.75,36,3,0.2,12,-1.0111843054453398,0.37150775489448257,0.0,-1.1969381828925811,False,2008-05-31,2021-12-31,164,0.6239996650862633,0.028492245105517424,0.2,0.20000000000000007,0.0,0.06947734296991943,0.19999999999999998
1.0,36,3,0.2,12,-1.0111843054453398,0.37150775489448257,0.0,-1.1969381828925811,False,2008-05-31,2021-12-31,164,0.6239996650862633,0.028492245105517424,0.2,0.20000000000000007,0.0,0.06947734296991943,0.19999999999999998
0.5,12,2,0.2,12,-1.0521389767009495,0.2991568156540685,0.0,-1.2017173845279836,False,2008-05-31,2021-12-31,164,0.563363645475792,0.10084318434593163,0.20000000000000007,0.20000000000000007,0.0,0.09780554002076396,0.20000000000000004
0.75,12,2,0.2,12,-1.0521389767009495,0.30627954504391475,0.0,-1.205278749222907,False,2008-05-31,2021-12-31,164,0.5625104424477496,0.09372045495608533,0.20000000000000007,0.20000000000000007,0.0,0.0979337128170046,0.20000000000000004
1.0,12,2,0.25,12,-0.937041102542731,0.544992608469691,0.0,-1.2095374067775766,False,2008-05-31,2021-12-31,164,0.5921996365352814,0.09316528626715116,0.25000000000000006,0.25000000000000006,0.13815789473684212,0.11928214611227882,0.25
1.0,12,2,0.2,12,-1.053571608509054,0.31417428188602003,0.0,-1.210658749452064,False,2008-05-31,2021-12-31,164,0.5605564299651393,0.08582571811398006,0.20000000000000007,0.20000000000000007,0.0,0.09710579037883235,0.20000000000000004
0.75,12,2,0.25,12,-0.937041102542731,0.5548610295223226,0.0,-1.2144716173038923,False,2008-05-31,2021-12-31,164,0.5937203702016931,0.10303370731978274,0.25000000000000006,0.25000000000000006,0.15789473684210525,0.12148728890501469,0.25
0.5,12,2,0.25,12,-0.937041102542731,0.5657162926802173,0.0,-1.2198992488828395,False,2008-05-31,2021-12-31,164,0.5942535712282745,0.11191528626715118,0.25000000000000006,0.25000000000000006,0.17763157894736842,0.12235924744622512,0.25
0.75,36,3,0.25,12,-1.0111843054453398,0.46984649122807015,0.0,-1.2461075510593749,False,2008-05-31,2021-12-31,164,0.6329619428359586,0.027960526315789474,0.24999999999999994,0.25,0.039473684210526314,0.07879302346712819,0.20833333333333334
0.2,12,2,0.25,12,-0.9709354622584115,0.5608769853442921,0.0,-1.2513739549305576,False,2008-05-31,2021-12-31,164,0.5636573191895508,0.13649143570833958,0.25000000000000006,0.25000000000000006,0.19736842105263158,0.12234280423024507,0.25
0.2,36,3,0.25,12,-1.0111843054453398,0.48519736842105254,0.0,-1.253782989655866,False,2008-05-31,2021-12-31,164,0.612231411373965,0.03344298245614035,0.24999999999999997,0.25,0.039473684210526314,0.08456322054810549,0.22916666666666666
0.5,36,3,0.25,12,-1.0111843054453398,0.48739035087719296,0.0,-1.2548794808839363,False,2008-05-31,2021-12-31,164,0.6196323665490774,0.03125,0.24999999999999997,0.25,0.039473684210526314,0.08267972847076846,0.22916666666666666
0.2,36,2,0.25,12,-1.0111843054453398,0.5164473684210527,0.0,-1.269407989655866,False,2008-05-31,2021-12-31,164,0.6225994298183116,0.03618421052631579,0.25,0.25,0.05263157894736842,0.08795882866526933,0.25
0.5,36,2,0.25,12,-1.0111843054453398,0.5164473684210527,0.0,-1.269407989655866,False,2008-05-31,2021-12-31,164,0.6225994298183116,0.03618421052631579,0.25,0.25,0.05263157894736842,0.08795882866526933,0.25
